Load More,Xem thêm
Default Target Warehouse,Kho nhập mặc định
Default Source Warehouse,Kho xuất mặc định
{} Draft,{} Nháp
Material Receipt,Nhập kho
{0} Pending,Đang thực hiện
{0} Available,{0} Khả dụng
Stock,Kho
ERPNext Integrations,Chỉnh sửa
Hide,Ẩn
Search or type a command,Tìm kiếm tại đây
{0} of {1},{0} trong {1}
Tree View,Xem kiểu cây
List Settings,Cài đặt danh sách
Toggle Sidebar,Ẩn/hiện thanh bên
Customize,Tùy chỉnh
Role Permissions Manager,Trình quản lý quyền
User Permissions,Quyền người dùng
Kanban View,Xem kiểu Kanban
Dashboard View,Xem kiểu biểu đồ
Report View,Xem kiểu báo cáo
List View,Xem kiểu danh sách
Share,Chia sẻ
No Tags,Không có nhãn
Search,Tìm kiếm
Filter Name,Tên bộ lọc
Save Filter,Lưu bộ lọc
Show Tags,Xem các nhãn
Edit Filters,Sửa bộ lọc
Filter By,Lọc bởi
Assigned To,Phân công tới
Tags,Nhãn
Me,Tôi
Created By,Tạo bởi
Editing {0},Sửa dòng {0}
Editing Row,Sửa dòng
Shortcuts,Phím tắt
Move,Di chuyển
Insert Above,Thêm dòng trên
Insert Below,Thêm dòng dưới
Convert to Group,Chuyển thành nhóm
Disable,Vô hiệu hóa
Deleted all documents successfully,Đã xóa toàn bộ bản ghi
Bulk Operation Successful,Hoàn thành thao tác hàng loạt
Standard,Tiêu chuẩn
No Letterhead,Chưa có tiêu đề văn bản
Background Print (required for >25 documents),In ở chế độ nền (yêu cầu khi >25 bản ghi)
Page Size,Kích thước giấy
Print Format,Định dạng in
Letter Head,Tiêu đề văn bản
Print Documents,In văn bản
Comment,Bình luận
Priority,Độ ưu tiên
Complete By,Hoàn thành bởi
Assign To User Group,Phân công tới nhóm
Add to {0},Thêm vào {0}
Template Warnings,Cảnh báo về mẫu
Template Options,Tùy chỉnh cho mẫu
Submit After Import,Import & Duyệt
Payload Count,Số lượng Payload
Export {0} record,Xuất {0} bản ghi
Update {0} records,Cập nhật {0} bản ghi
You have not entered a value. The field will be set to empty.,Bạn chưa nhập giá trị. Trường hiện tại sẽ được đặt thành trống
Bulk Edit,Chỉnh sửa hàng loạt
Yes,Ok
No,Không
Delete {0} item permanently?,Xác nhận xóa {0} bản ghi?
Confirm,Xác nhận
Add Tags,Thêm nhãn
Apply Assignment Rule,Áp dụng quy tắc phân công
Clear Assignment,Xóa phân công
Assign To,Phân công tới
Edit,Sửa
now,mới đây
{0} items selected,Đang chọn {0} bản ghi
Start Import,Bắt đầu nhập
Reload File,Tải lại File
Success,Thành công
Go to {0} List,Mở danh sách {0}
Successfully imported {0} record.,Nhập thành công {0} bản ghi.
Show Only Failed Logs,Chỉ hiển thị các nhật ký lỗi
Successfully imported {0},Nhập thành công dữ liệu {0}
Message,Thông báo
Row Number,Dòng số
Import Log,Nhật ký nhập
Clear,Gỡ
Map Columns,Ánh xạ cột
Map columns from {0} to fields in {1},Ánh xạ các cột từ {0} tới các trường trong {1}
Preview,Xem trước
Private,Riêng tư
Set all private,Đặt tất cả thành riêng tư
Search by filename or extension,Tìm kiếm theo tên tệp hoặc phần mở rộng
Attachments,Tệp đính kèm
No Images,Không có ảnh
Take Photo,Chụp
