Load More,Xem thêm
Minimum Value,Giá trị tối thiểu
No.,STT
Item Quality Inspection Parameter,Danh sách thông số kiểm tra QC
Filters applied for {0},Lọc tìm kiếm theo: {0}
{0} List,Danh sách {0}
Advanced Search,Tìm kiếm nâng cao
Create a new {0},Tạo mới {0}
Quality,Chất lượng
Details,Chi tiết
Disabled,Vô hiệu hóa
Default Unit of Measure,Đơn vị đo chính
Item Code,Mã mặt hàng
Item Group Tree,Cây phân cấp nhóm hàng
Only leaf nodes are allowed in transaction,Chỉ được phép chọn các nút lá trong giao dịch
Update,Cập nhật
Reset to default,Quay về mặc định
Add / Remove Columns,Thêm / Ẩn Cột
Column Width,Độ rộng cột
Fieldname,Tên trường
Configure Columns,Thiết lập hiển thị cột
No Data,Chưa có dữ liệu
Add Row,Thêm dòng
Item Group Defaults,Thiết lập mặc định cho nhóm hàng
Defaults,Mặc định
General Settings,Thiết lập mặc định
Default Warehouse,Nhà kho mặc định
Warehouse Detail,Mô tả nhà kho
New {0},{0} mới
Canceled,Đã hủy
Not Saved,Chưa lưu
Draft,Nháp
Add a Filter,Thêm hạng mục lọc
Clear Filters,Xóa bộ lọc
Apply Filters,Áp dụng bộ lọc
Is,Là
Not In,Không thuộc
Not Like,Không giống
Like,Giống
Not Equals,Không bằng
Equals,Bằng với
Export,Xuất dữ liệu
Help,Trợ giúp
Has Variants,Có nhiều mẫu mã
Variant Of,Thuộc mẫu mã
"A Product or a Service that is bought, sold or kept in stock.","Một sản phẩm hoặc dịch vụ được mua, bán hoặc lưu kho."
An Item Group is a way to classify items based on types.,Nhóm mặt hàng là cách phân loại các mặt hàng theo loại.
A logical Warehouse against which stock entries are made.,Một kho logic được dùng để ghi nhận các nghiệp vụ nhập/xuất kho.
Value,Giá trị
Field,Trường
Restrictions,Giới hạn
Total Cost,Tổng chi phí
Conversion Rate,Tỷ lệ chuyển đổi
Currency,Đơn vị tiền
Is Default,Mặc định
Is Active,Đang hoạt động
Quantity,Số lượng
Submit,Xác nhận
Save,Lưu
Default Workstation,Thiết bị mặc định
Job Capacity,Công suất xử lý
Wages,Lương
Rent Cost,Chi phí thuê
Consumable Cost,Chi phí vật tư tiêu hao
Electricity Cost,Chi phí tiêu thụ điện
Status,Trạng thái
Workstation Name,Tên thiết bị/cụm thiết bị
Description,Mô tả
Parameter Group,Nhóm thông số
Parameter,Thông số
Quality Inspection Template Name,Tên mẫu kiểm tra QC
You haven't created a {0} yet,Bạn chưa tạo bản ghi {0} nào
Is Group,Nhóm
Parent Item Group,Theo nhóm cha
Item Group Name,Tên nhóm mặt hàng
Import,Nhập dữ liệu
Create your first {0},Tạo bản ghi {0} đầu tiên
Parent Warehouse,Nhà kho cha
Is Group Warehouse,Là nhóm nhà kho
Warehouse Name,Tên nhà kho
Most Used,Truy cập nhiều nhất
Created On,Thời gian tạo
Last Updated On,Cập nhật gần nhất
Filter,Lọc
Company,Công ty
Log out,Đăng xuất
Toggle Full Width,Đổi chế độ màn hình
Reload,Làm mới
My Profile,Thông tin cá nhân
New,Mới
Add,Thêm
ERPNext,FaceNet
Home,Trang chủ
Quality Inspection Parameter,Thông số kiểm tra QC
BOM,Công thức sản xuất (BOM)
Routing,Quy trình sản xuất
Operation,Công đoạn
Workstation Type,Loại thiết bị
Workstation,Thiết bị/Cụm thiết bị
Quality Inspection Template,Mẫu kiểm tra QC
Item,Mặt hàng
Item Group,Nhóm mặt hàng
Warehouse,Nhà kho
to your browser,to your browser
!=,!=
"\""Company History\","\""Company History\"
"\""Parent\"" signifies the parent table in which this row must be added","\""Parent\"" signifies the parent table in which this row must be added"
"\""Team Members\"" or \""Management\","\""Team Members\"" or \""Management\"
"\""amended_from\"" field must be present to do an amendment.","\""amended_from\"" field must be present to do an amendment."
"\""{0}\"" is not a valid Google Sheets URL","\""{0}\"" is not a valid Google Sheets URL"
#{0},#{0}
${values.doctype_name} has been added to queue for optimization,${values.doctype_name} has been added to queue for optimization
&copy; Frappe Technologies Pvt. Ltd. and contributors,&copy; Frappe Technologies Pvt. Ltd. and contributors
&lt;head&gt; HTML,&lt;head&gt; HTML
'In Global Search' is not allowed for field {0} of type {1},'In Global Search' is not allowed for field {0} of type {1}
'In Global Search' not allowed for type {0} in row {1},'In Global Search' not allowed for type {0} in row {1}
'In List View' is not allowed for field {0} of type {1},'In List View' is not allowed for field {0} of type {1}
'In List View' not allowed for type {0} in row {1},'In List View' not allowed for type {0} in row {1}
'Recipients' not specified,'Recipients' not specified
'{0}' is not a valid URL,'{0}' is not a valid URL
'{0}' not allowed for type {1} in row {2},'{0}' not allowed for type {1} in row {2}
(Mandatory),(Mandatory)
** Failed: {0} to {1}: {2},** Failed: {0} to {1}: {2}
+ Add / Remove Fields,+ Add / Remove Fields
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Draft; 1 - Submitted; 2 - Cancelled
0 is highest,0 is highest
1 = True & 0 = False,1 = True & 0 = False
1 Day,1 Day
1 Google Calendar Event synced.,1 Google Calendar Event synced.
1 Report,1 Report
1 comment,1 comment
1 day ago,1 day ago
1 hour,1 hour
1 month ago,1 month ago
1 of 2,1 of 2
1 record will be exported,1 record will be exported
1 second ago,1 second ago
1 year ago,1 year ago
2 hours ago,2 hours ago
2 months ago,2 months ago
2 weeks ago,2 weeks ago
2 years ago,2 years ago
3 minutes ago,3 minutes ago
30 minutes,30 minutes
4 hours,4 hours
5 days ago,5 days ago
; not allowed in condition,; not allowed in condition
<,<
<=,<=
<b>{0}</b> is not a valid URL,<b>{0}</b> is not a valid URL
"<div class=\""alert\"">Please don't update it as it can mess up your form. Use the Customize Form View and Custom Fields to set properties!</div>","<div class=\""alert\"">Please don't update it as it can mess up your form. Use the Customize Form View and Custom Fields to set properties!</div>"
"<h5 class=\""text-muted uppercase\"">Or</h5>","<h5 class=\""text-muted uppercase\"">Or</h5>"
"<p>Your OTP secret on {0} has been reset. If you did not perform this reset and did not request it, please contact your System Administrator immediately.</p>","<p>Your OTP secret on {0} has been reset. If you did not perform this reset and did not request it, please contact your System Administrator immediately.</p>"
"<span class=\""h2\"">Hi,</span>","<span class=\""h2\"">Hi,</span>"
"<span class=\""h4\""><b>Documents</b></span>","<span class=\""h4\""><b>Documents</b></span>"
"<span class=\""h4\""><b>Reports & Masters</b></span>","<span class=\""h4\""><b>Reports & Masters</b></span>"
"<span class=\""h4\""><b>Reports &amp; Masters</b></span>","<span class=\""h4\""><b>Reports &amp; Masters</b></span>"
"<span class=\""h4\""><b>Your Shortcuts</b></span>","<span class=\""h4\""><b>Your Shortcuts</b></span>"
"<span style=\""font-size: 18px; letter-spacing: 0.18px;\""><b>Components to build your app</b></span>","<span style=\""font-size: 18px; letter-spacing: 0.18px;\""><b>Components to build your app</b></span>"
"<span style=\""font-size: 18px; letter-spacing: 0.18px;\""><b>Get started</b><br></span>","<span style=\""font-size: 18px; letter-spacing: 0.18px;\""><b>Get started</b><br></span>"
<strong>Warning:</strong> This field is system generated and may be overwritten by a future update. Modify it using {0} instead.,<strong>Warning:</strong> This field is system generated and may be overwritten by a future update. Modify it using {0} instead.
=,=
>,>
>=,>=
"A DocType (Document Type) is used to insert forms in ERPNext. Forms such as Customer, Orders, and Invoices are Doctypes in the backend. You can also create new DocTypes to create new forms in ERPNext as per your business needs.","A DocType (Document Type) is used to insert forms in ERPNext. Forms such as Customer, Orders, and Invoices are Doctypes in the backend. You can also create new DocTypes to create new forms in ERPNext as per your business needs."
"A DocType's name should start with a letter and can only consist of letters, numbers, spaces, underscores and hyphens","A DocType's name should start with a letter and can only consist of letters, numbers, spaces, underscores and hyphens"
A featured post must have a cover image,A featured post must have a cover image
A field with the name {0} already exists in {1},A field with the name {0} already exists in {1}
A file with same name {} already exists,A file with same name {} already exists
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,A list of resources which the Client App will have access to after the user allows it.<br> e.g. project
A new account has been created for you at {0},A new account has been created for you at {0}
A recurring {0} {1} has been created for you via Auto Repeat {2}.,A recurring {0} {1} has been created for you via Auto Repeat {2}.
A symbol for this currency. For e.g. $,A symbol for this currency. For e.g. $
A template already exists for field {0} of {1},A template already exists for field {0} of {1}
A word by itself is easy to guess.,A word by itself is easy to guess.
A0,A0
A1,A1
A2,A2
A3,A3
A4,A4
A5,A5
A6,A6
A7,A7
A8,A8
A9,A9
ALL,ALL
API,API
API Access,API Access
API Endpoint,API Endpoint
API Endpoint Args,API Endpoint Args
API Key,API Key
API Key and Secret to interact with the relay server. These will be auto-generated when the first push notification is sent from any of the apps installed on this site.,API Key and Secret to interact with the relay server. These will be auto-generated when the first push notification is sent from any of the apps installed on this site.
API Key cannot be regenerated,API Key cannot be regenerated
API Keys,API Keys
API Method,API Method
API Secret,API Secret
ASC,ASC
About,About
About Us,About Us
About Us Settings,About Us Settings
About Us Team Member,About Us Team Member
About {0} minute remaining,About {0} minute remaining
About {0} minutes remaining,About {0} minutes remaining
About {0} seconds remaining,About {0} seconds remaining
Access Control,Access Control
Access Key ID,Access Key ID
Access Key Secret,Access Key Secret
Access Log,Access Log
Access Token,Access Token
Access Token URL,Access Token URL
Access not allowed from this IP Address,Access not allowed from this IP Address
Account Deletion Settings,Account Deletion Settings
Accounts Manager,Accounts Manager
Accounts User,Accounts User
"Accurate count can not be fetched, click here to view all documents","Accurate count can not be fetched, click here to view all documents"
Action,Action
Action / Route,Action / Route
Action Complete,Action Complete
Action Failed,Action Failed
Action Label,Action Label
Action Timeout (Seconds),Action Timeout (Seconds)
Action Type,Action Type
Action {0} completed successfully on {1} {2}. View it {3},Action {0} completed successfully on {1} {2}. View it {3}
Action {0} failed on {1} {2}. View it {3},Action {0} failed on {1} {2}. View it {3}
Activate,Activate
Active Directory,Active Directory
Active Domains,Active Domains
Active Sessions,Active Sessions
Activity Log,Activity Log
Add / Update,Add / Update
Add A New Rule,Add A New Rule
Add Background Image,Add Background Image
Add Blog Category,Add Blog Category
Add Border at Bottom,Add Border at Bottom
Add Border at Top,Add Border at Top
Add Card to Dashboard,Add Card to Dashboard
Add Chart to Dashboard,Add Chart to Dashboard
Add Child,Add Child
Add Contact,Add Contact
Add Contacts,Add Contacts
Add Container,Add Container
Add Custom Tags,Add Custom Tags
Add Filters,Add Filters
Add Gray Background,Add Gray Background
Add Indexes,Add Indexes
Add New Permission Rule,Add New Permission Rule
Add Participants,Add Participants
Add Query Parameters,Add Query Parameters
Add Review,Add Review
Add Roles,Add Roles
Add Signature,Add Signature
Add Space at Bottom,Add Space at Bottom
Add Space at Top,Add Space at Top
Add Subscribers,Add Subscribers
Add Template,Add Template
Add Total Row,Add Total Row
Add Translate Data,Add Translate Data
Add Unsubscribe Link,Add Unsubscribe Link
Add User Permissions,Add User Permissions
Add Video Conferencing,Add Video Conferencing
Add a New Role,Add a New Role
Add a Row,Add a Row
Add a comment,Add a comment
Add a new section,Add a new section
Add a row above the current row,Add a row above the current row
Add a row at the bottom,Add a row at the bottom
Add a row at the top,Add a row at the top
Add a row below the current row,Add a row below the current row
Add a {0} Chart,Add a {0} Chart
Add column,Add column
Add new tab,Add new tab
Add page break,Add page break
Add script for Child Table,Add script for Child Table
Add section above,Add section above
Add section below,Add section below
Add tab,Add tab
Add to Dashboard,Add to Dashboard
Add to table,Add to table
Add to this activity by mailing to {0},Add to this activity by mailing to {0}
Add {0},Add {0}
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO","Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO"
Added default log doctypes: {},Added default log doctypes: {}
Additional Permissions,Additional Permissions
Address,Address
Address Template,Address Template
Address Title,Address Title
Address Title is mandatory.,Address Title is mandatory.
Address Type,Address Type
Address and other legal information you may want to put in the footer.,Address and other legal information you may want to put in the footer.
Addresses,Addresses
Addresses And Contacts,Addresses And Contacts
Adds a custom client script to a DocType,Adds a custom client script to a DocType
Adds a custom field to a DocType,Adds a custom field to a DocType
Administration,Administration
Administrator,Administrator
Administrator Logged In,Administrator Logged In
Administrator accessed {0} on {1} via IP Address {2}.,Administrator accessed {0} on {1} via IP Address {2}.
Advanced,Advanced
Advanced Control,Advanced Control
Advanced Settings,Advanced Settings
After,After
After Cancel,After Cancel
After Delete,After Delete
After Insert,After Insert
After Rename,After Rename
After Save,After Save
After Save (Submitted Document),After Save (Submitted Document)
After Submission,After Submission
After Submit,After Submit
Aggregate Field is required to create a number card,Aggregate Field is required to create a number card
Aggregate Function Based On,Aggregate Function Based On
Aggregate Function field is required to create a dashboard chart,Aggregate Function field is required to create a dashboard chart
Alert,Alert
Alerts and Notifications,Alerts and Notifications
Align,Align
Align Labels to the Right,Align Labels to the Right
Align Right,Align Right
Align Value,Align Value
All Day,All Day
All Images attached to Website Slideshow should be public,All Images attached to Website Slideshow should be public
All Submissions,All Submissions
All customizations will be removed. Please confirm.,All customizations will be removed. Please confirm.
All fields are necessary to submit the comment.,All fields are necessary to submit the comment.
